start,stop,executionTime,blockNumber,newStart
1597658999.539,1597659000,0.460999965667725,21,0
1597658999.541,1597659000,0.459000110626221,21,0.001999855041504
1597658999.543,1597659000,0.457000017166138,21,0.003999948501587
1597658999.544,1597659000,0.456000089645386,21,0.004999876022339
1597658999.546,1597659000,0.453999996185303,21,0.006999969482422
1597658999.546,1597659000,0.453999996185303,21,0.006999969482422
1597658999.548,1597659000,0.45199990272522,21,0.009000062942505
1597658999.549,1597659000,0.450999975204468,21,0.009999990463257
1597658999.552,1597659000,0.447999954223633,21,0.013000011444092
1597658999.555,1597659000,0.444999933242798,21,0.016000032424927
1597658999.555,1597659000,0.444999933242798,21,0.016000032424927
1597658999.555,1597659000,0.444999933242798,21,0.016000032424927
1597658999.556,1597659000,0.444000005722046,21,0.016999959945679
1597658999.557,1597659000,0.443000078201294,21,0.017999887466431
1597658999.559,1597659000,0.440999984741211,21,0.019999980926514
1597658999.564,1597659000,0.436000108718872,21,0.024999856948853
1597658999.566,1597659000,0.434000015258789,21,0.026999950408936
1597658999.566,1597659000,0.434000015258789,21,0.026999950408936
1597658999.567,1597659000,0.433000087738037,21,0.027999877929688
1597658999.57,1597659000,0.430000066757202,21,0.030999898910523
1597658999.57,1597659000,0.430000066757202,21,0.030999898910523
1597658999.571,1597659000,0.428999900817871,21,0.032000064849854
1597658999.571,1597659000,0.428999900817871,21,0.032000064849854
1597658999.572,1597659000,0.427999973297119,21,0.032999992370606
1597658999.572,1597659000,0.427999973297119,21,0.032999992370606
1597658999.573,1597659000,0.427000045776367,21,0.033999919891358
1597658999.573,1597659000,0.427000045776367,21,0.033999919891358
1597658999.574,1597659000,0.426000118255615,21,0.034999847412109
1597658999.578,1597659000,0.421999931335449,21,0.039000034332275
1597658999.579,1597659000,0.421000003814697,21,0.039999961853027
1597658999.583,1597659000,0.41700005531311,21,0.043999910354614
1597658999.583,1597659000,0.41700005531311,21,0.043999910354614
1597658999.583,1597659000,0.41700005531311,21,0.043999910354614
1597658999.586,1597659000,0.414000034332275,21,0.046999931335449
