start,stop,executionTime,blockNumber
1597316752.196,1597316755,2.803999900817871,24
1597316752.915,1597316755,2.0850000381469727,24
1597316753.629,1597316755,1.371000051498413,24
1597316754.342,1597316755,0.6579999923706055,24
1597316755.052,1597316755,-0.05200004577636719,24
1597316755.761,1597316760,4.239000082015991,25
1597316756.473,1597316760,3.5269999504089355,25
1597316757.183,1597316760,2.816999912261963,25
1597316757.895,1597316760,2.1050000190734863,25
1597316758.603,1597316765,6.397000074386597,26
1597316759.317,1597316765,5.683000087738037,26
1597316760.026,1597316765,4.973999977111816,26
1597316760.734,1597316765,4.266000032424927,26
1597316761.444,1597316765,3.555999994277954,26
1597316762.156,1597316770,7.8440001010894775,27
1597316762.864,1597316770,7.135999917984009,27
1597316763.574,1597316770,6.426000118255615,27
1597316764.283,1597316770,5.7170000076293945,27
1597316764.993,1597316770,5.006999969482422,27
1597316765.701,1597316775,9.299000024795532,28
1597316766.41,1597316775,8.589999914169312,28
1597316767.118,1597316775,7.881999969482422,28
1597316767.828,1597316775,7.171999931335449,28
1597316768.537,1597316780,11.463000059127808,29
1597316769.245,1597316780,10.755000114440918,29
1597316769.955,1597316780,10.045000076293945,29
1597316770.663,1597316780,9.336999893188477,29
1597316771.372,1597316780,8.628000020980835,29
1597316772.083,1597316785,12.91700005531311,30
1597316772.791,1597316785,12.20900011062622,30
1597316773.499,1597316785,11.500999927520752,30
1597316774.208,1597316785,10.79200005531311,30
1597316774.918,1597316790,15.082000017166138,31
1597316775.626,1597316790,14.374000072479248,31
1597316776.334,1597316790,13.66599988937378,31
1597316777.043,1597316790,12.957000017166138,31
1597316777.75,1597316790,12.25,31
1597316778.458,1597316795,16.54200005531311,32
1597316779.166,1597316795,15.83400011062622,32
1597316779.874,1597316795,15.125999927520752,32
1597316780.582,1597316795,14.417999982833862,32
1597316781.291,1597316800,18.70900011062622,33
1597316781.999,1597316800,18.000999927520752,33
1597316782.706,1597316800,17.293999910354614,33
1597316783.414,1597316800,16.585999965667725,33
1597316784.121,1597316805,20.878999948501587,34
1597316784.828,1597316805,20.17199993133545,34
